Date,Area,Area (sq km),Population
2010-03,Barking and Dagenham,36,177400
2010-03,Barnet,87,340300
2010-03,Bexley,61,227500
2010-03,Brent,43,295300
2010-03,Bromley,150,303800
2010-03,Camden,22,210000
2010-03,Croydon,86,351000
2010-03,Ealing,56,325300
2010-03,Enfield,81,299800
2010-03,Greenwich,47,242200
2010-03,Hackney,19,236300
2010-03,Hammersmith and Fulham,16,177100
2010-03,Haringey,30,247600
2010-03,Harrow,50,231900
2010-03,Havering,112,233100
2010-03,Hillingdon,116,263300
2010-03,Hounslow,56,243100
2010-03,Islington,15,195400
2010-03,Kensington and Chelsea,12,159800
2010-03,Kingston upon Thames,37,155900
2010-03,Lambeth,27,292100
2010-03,Lewisham,35,268700
2010-03,Merton,38,196200
2010-03,Newham,36,288000
2010-03,Redbridge,56,269700
2010-03,Richmond upon Thames,57,181700
2010-03,Southwark,29,278900
2010-03,Sutton,44,187000
2010-03,Tower Hamlets,20,240900
2010-03,Waltham Forest,39,247700
2010-03,Wandsworth,34,296400
2010-03,Westminster,21,209500
2011-03,Barking and Dagenham,36,187029.0
2011-03,Barnet,87,357538.0
2011-03,Bexley,61,232774.0
2011-03,Brent,43,312245.0
2011-03,Bromley,150,310554.0
2011-03,Camden,22,220087.0
2011-03,Croydon,86,364815.0
2011-03,Ealing,56,339314.0
2011-03,Enfield,81,313935.0
2011-03,Greenwich,47,255483.0
2011-03,Hackney,19,247182.0
2011-03,Hammersmith and Fulham,16,182445.0
2011-03,Haringey,30,255540.0
2011-03,Harrow,50,240499.0
2011-03,Havering,112,237927.0
2011-03,Hillingdon,116,275499.0
2011-03,Hounslow,56,254927.0
2011-03,Islington,15,206285.0
2011-03,Kensington and Chelsea,12,158251.0
2011-03,Kingston upon Thames,37,160436.0
2011-03,Lambeth,27,304481.0
2011-03,Lewisham,35,276938.0
2011-03,Merton,38,200543.0
2011-03,Newham,36,310460.0
2011-03,Redbridge,56,281395.0
2011-03,Richmond upon Thames,57,187527.0
2011-03,Southwark,29,288717.0
2011-03,Sutton,44,191123.0
2011-03,Tower Hamlets,20,256012.0
2011-03,Waltham Forest,39,259742.0
2011-03,Wandsworth,34,307710.0
2011-03,Westminster,21,219582.0
2012-03,Barking and Dagenham,36,185000
2012-03,Barnet,87,354100
2012-03,Bexley,61,230600
2012-03,Brent,43,310600
2012-03,Bromley,150,307600
2012-03,Camden,22,214400
2012-03,Croydon,86,362700
2012-03,Ealing,56,334400
2012-03,Enfield,81,309100
2012-03,Greenwich,47,253300
2012-03,Hackney,19,244500
2012-03,Hammersmith and Fulham,16,176500
2012-03,Haringey,30,251200
2012-03,Harrow,50,237500
2012-03,Havering,112,235500
2012-03,Hillingdon,116,274200
2012-03,Hounslow,56,252900
2012-03,Islington,15,203200
2012-03,Kensington and Chelsea,12,155000
2012-03,Kingston upon Thames,37,157200
2012-03,Lambeth,27,301500
2012-03,Lewisham,35,274500
2012-03,Merton,38,198300
2012-03,Newham,36,309200
2012-03,Redbridge,56,279200
2012-03,Richmond upon Thames,57,185600
2012-03,Southwark,29,284500
2012-03,Sutton,44,189500
2012-03,Tower Hamlets,20,254400
2012-03,Waltham Forest,39,254600
2012-03,Wandsworth,34,303000
2012-03,Westminster,21,218900
2013-03,Barking and Dagenham,36,190700
2013-03,Barnet,87,360600
2013-03,Bexley,61,233800
2013-03,Brent,43,312500
2013-03,Bromley,150,312700
2013-03,Camden,22,222500
2013-03,Croydon,86,366100
2013-03,Ealing,56,337300
2013-03,Enfield,81,314700
2013-03,Greenwich,47,258400
2013-03,Hackney,19,250900
2013-03,Hammersmith and Fulham,16,180400
2013-03,Haringey,30,255700
2013-03,Harrow,50,239600
2013-03,Havering,112,238700
2013-03,Hillingdon,116,279900
2013-03,Hounslow,56,256800
2013-03,Islington,15,210100
2013-03,Kensington and Chelsea,12,153800
2013-03,Kingston upon Thames,37,162300
2013-03,Lambeth,27,307200
2013-03,Lewisham,35,279700
2013-03,Merton,38,200900
2013-03,Newham,36,315300
2013-03,Redbridge,56,283400
2013-03,Richmond upon Thames,57,187500
2013-03,Southwark,29,291200
2013-03,Sutton,44,192200
2013-03,Tower Hamlets,20,264200
2013-03,Waltham Forest,39,261000
2013-03,Wandsworth,34,306500
2013-03,Westminster,21,220700
2014-03,Barking and Dagenham,36,193900
2014-03,Barnet,87,363400
2014-03,Bexley,61,236500
2014-03,Brent,43,311900
2014-03,Bromley,150,317200
2014-03,Camden,22,228000
2014-03,Croydon,86,369100
2014-03,Ealing,56,338900
2014-03,Enfield,81,315200
2014-03,Greenwich,47,262800
2014-03,Hackney,19,255400
2014-03,Hammersmith and Fulham,16,179600
2014-03,Haringey,30,258000
2014-03,Harrow,50,241400
2014-03,Havering,112,241500
2014-03,Hillingdon,116,284500
2014-03,Hounslow,56,259800
2014-03,Islington,15,214000
2014-03,Kensington and Chelsea,12,153700
2014-03,Kingston upon Thames,37,164600
2014-03,Lambeth,27,311100
2014-03,Lewisham,35,283100
2014-03,Merton,38,202400
2014-03,Newham,36,321600
2014-03,Redbridge,56,287800
2014-03,Richmond upon Thames,57,189700
2014-03,Southwark,29,298300
2014-03,Sutton,44,194900
2014-03,Tower Hamlets,20,274800
2014-03,Waltham Forest,39,263900
2014-03,Wandsworth,34,307700
2014-03,Westminster,21,223500
2015-03,Barking and Dagenham,36,198700
2015-03,Barnet,87,364000
2015-03,Bexley,61,239500
2015-03,Brent,43,320200
2015-03,Bromley,150,320100
2015-03,Camden,22,233800
2015-03,Croydon,86,374100
2015-03,Ealing,56,338600
2015-03,Enfield,81,318700
2015-03,Greenwich,47,267700
2015-03,Hackney,19,264000
2015-03,Hammersmith and Fulham,16,179800
2015-03,Haringey,30,262600
2015-03,Harrow,50,243300
2015-03,Havering,112,245200
2015-03,Hillingdon,116,290000
2015-03,Hounslow,56,262000
2015-03,Islington,15,219500
2015-03,Kensington and Chelsea,12,155400
2015-03,Kingston upon Thames,37,166400
2015-03,Lambeth,27,313300
2015-03,Lewisham,35,288900
2015-03,Merton,38,203500
2015-03,Newham,36,328600
2015-03,Redbridge,56,292900
2015-03,Richmond upon Thames,57,191800
2015-03,Southwark,29,301900
2015-03,Sutton,44,196900
2015-03,Tower Hamlets,20,284900
2015-03,Waltham Forest,39,265700
2015-03,Wandsworth,34,311700
2015-03,Westminster,21,230600
2016-03,Barking and Dagenham,36,204700
2016-03,Barnet,87,372200
2016-03,Bexley,61,240600
2016-03,Brent,43,319100
2016-03,Bromley,150,323000
2016-03,Camden,22,241900
2016-03,Croydon,86,377100
2016-03,Ealing,56,339900
2016-03,Enfield,81,324900
2016-03,Greenwich,47,272000
2016-03,Hackney,19,269000
2016-03,Hammersmith and Fulham,16,178900
2016-03,Haringey,30,265700
2016-03,Harrow,50,244700
2016-03,Havering,112,248600
2016-03,Hillingdon,116,294100
2016-03,Hounslow,56,264300
2016-03,Islington,15,226300
2016-03,Kensington and Chelsea,12,155800
2016-03,Kingston upon Thames,37,169000
2016-03,Lambeth,27,317200
2016-03,Lewisham,35,294900
2016-03,Merton,38,204600
2016-03,Newham,36,336700
2016-03,Redbridge,56,296800
2016-03,Richmond upon Thames,57,191200
2016-03,Southwark,29,306400
2016-03,Sutton,44,198900
2016-03,Tower Hamlets,20,293100
2016-03,Waltham Forest,39,269000
2016-03,Wandsworth,34,315400
2016-03,Westminster,21,231500
2017-03,Barking and Dagenham,36,206900
2017-03,Barnet,87,380800
2017-03,Bexley,61,243700
2017-03,Brent,43,324500
2017-03,Bromley,150,324700
2017-03,Camden,22,247200
2017-03,Croydon,86,380200
2017-03,Ealing,56,339400
2017-03,Enfield,81,329200
2017-03,Greenwich,47,276200
2017-03,Hackney,19,273000
2017-03,Hammersmith and Fulham,16,180500
2017-03,Haringey,30,269200
2017-03,Harrow,50,246600
2017-03,Havering,112,253200
2017-03,Hillingdon,116,297400
2017-03,Hounslow,56,266000
2017-03,Islington,15,227800
2017-03,Kensington and Chelsea,12,153300
2017-03,Kingston upon Thames,37,172100
2017-03,Lambeth,27,321100
2017-03,Lewisham,35,298800
2017-03,Merton,38,204400
2017-03,Newham,36,343400
2017-03,Redbridge,56,299000
2017-03,Richmond upon Thames,57,192800
2017-03,Southwark,29,307900
2017-03,Sutton,44,200800
2017-03,Tower Hamlets,20,301200
2017-03,Waltham Forest,39,272800
2017-03,Wandsworth,34,316300
2017-03,Westminster,21,236100
2018-03,Barking and Dagenham,36,210100
2018-03,Barnet,87,385100
2018-03,Bexley,61,245800
2018-03,Brent,43,327100
2018-03,Bromley,150,327900
2018-03,Camden,22,252900
2018-03,Croydon,86,382700
2018-03,Ealing,56,338300
2018-03,Enfield,81,331600
2018-03,Greenwich,47,281600
2018-03,Hackney,19,275900
2018-03,Hammersmith and Fulham,16,180900
2018-03,Haringey,30,271100
2018-03,Harrow,50,247000
2018-03,Havering,112,256000
2018-03,Hillingdon,116,300800
2018-03,Hounslow,56,266800
2018-03,Islington,15,231000
2018-03,Kensington and Chelsea,12,154000
2018-03,Kingston upon Thames,37,173400
2018-03,Lambeth,27,322300
2018-03,Lewisham,35,301300
2018-03,Merton,38,204800
2018-03,Newham,36,347500
2018-03,Redbridge,56,301800
2018-03,Richmond upon Thames,57,193900
2018-03,Southwark,29,311100
2018-03,Sutton,44,202000
2018-03,Tower Hamlets,20,308000
2018-03,Waltham Forest,39,274100
2018-03,Wandsworth,34,316200
2018-03,Westminster,21,238400
2019-03,Barking and Dagenham,36,215000
2019-03,Barnet,87,392500
2019-03,Bexley,61,249200
2019-03,Brent,43,328500
2019-03,Bromley,150,331000
2019-03,Camden,22,256600
2019-03,Croydon,86,386500
2019-03,Ealing,56,340300
2019-03,Enfield,81,337500
2019-03,Greenwich,47,284500
2019-03,Hackney,19,282200
2019-03,Hammersmith and Fulham,16,180300
2019-03,Haringey,30,276100
2019-03,Harrow,50,248600
2019-03,Havering,112,259400
2019-03,Hillingdon,116,306500
2019-03,Hounslow,56,271100
2019-03,Islington,15,235000
2019-03,Kensington and Chelsea,12,154400
2019-03,Kingston upon Thames,37,178800
2019-03,Lambeth,27,323100
2019-03,Lewisham,35,305000
2019-03,Merton,38,207700
2019-03,Newham,36,353500
2019-03,Redbridge,56,306700
2019-03,Richmond upon Thames,57,196500
2019-03,Southwark,29,317900
2019-03,Sutton,44,204600
2019-03,Tower Hamlets,20,315100
2019-03,Waltham Forest,39,278400
2019-03,Wandsworth,34,321400
2019-03,Westminster,21,240100
2020-03,Barking and Dagenham,36,219500
2020-03,Barnet,87,395300
2020-03,Bexley,61,252200
2020-03,Brent,43,330500
2020-03,Bromley,150,336000
2020-03,Camden,22,262200
2020-03,Croydon,86,390400
2020-03,Ealing,56,343600
2020-03,Enfield,81,340900
2020-03,Greenwich,47,288800
2020-03,Hackney,19,286400
2020-03,Hammersmith and Fulham,16,180400
2020-03,Haringey,30,279200
2020-03,Harrow,50,248200
2020-03,Havering,112,263700
2020-03,Hillingdon,116,310000
2020-03,Hounslow,56,273000
2020-03,Islington,15,239100
2020-03,Kensington and Chelsea,12,152800
2020-03,Kingston upon Thames,37,179800
2020-03,Lambeth,27,325700
2020-03,Lewisham,35,310800
2020-03,Merton,38,209300
2020-03,Newham,36,358600
2020-03,Redbridge,56,311900
2020-03,Richmond upon Thames,57,198700
2020-03,Southwark,29,320000
2020-03,Sutton,44,206700
2020-03,Tower Hamlets,20,322000
2020-03,Waltham Forest,39,280800
2020-03,Wandsworth,34,324500
2020-03,Westminster,21,237800
2021-03,Barking and Dagenham,36,222400
2021-03,Barnet,87,399900
2021-03,Bexley,61,254000
2021-03,Brent,43,331400
2021-03,Bromley,150,338800
2021-03,Camden,22,261900
2021-03,Croydon,86,392800
2021-03,Ealing,56,345900
2021-03,Enfield,81,342900
2021-03,Greenwich,47,293000
2021-03,Hackney,19,291000
2021-03,Hammersmith and Fulham,16,178900
2021-03,Haringey,30,278100
2021-03,Harrow,50,250300
2021-03,Havering,112,264600
2021-03,Hillingdon,116,313300
2021-03,Hounslow,56,274900
2021-03,Islington,15,241500
2021-03,Kensington and Chelsea,12,152700
2021-03,Kingston upon Thames,37,181700
2021-03,Lambeth,27,327100
2021-03,Lewisham,35,314400
2021-03,Merton,38,207400
2021-03,Newham,36,362400
2021-03,Redbridge,56,313700
2021-03,Richmond upon Thames,57,200000
2021-03,Southwark,29,319900
2021-03,Sutton,44,207900
2021-03,Tower Hamlets,20,326900
2021-03,Waltham Forest,39,282400
2021-03,Wandsworth,34,325400
2021-03,Westminster,21,233300
2022-03,Barking and Dagenham,36,224800
2022-03,Barnet,87,403500
2022-03,Bexley,61,256000
2022-03,Brent,43,332700
2022-03,Bromley,150,341400
2022-03,Camden,22,265100
2022-03,Croydon,86,395300
2022-03,Ealing,56,341500
2022-03,Enfield,81,344700
2022-03,Greenwich,47,296300
2022-03,Hackney,19,297900
2022-03,Hammersmith and Fulham,16,177900
2022-03,Haringey,30,275100
2022-03,Harrow,50,251800
2022-03,Havering,112,266900
2022-03,Hillingdon,116,311700
2022-03,Hounslow,56,276100
2022-03,Islington,15,242700
2022-03,Kensington and Chelsea,12,153600
2022-03,Kingston upon Thames,37,182300
2022-03,Lambeth,27,331400
2022-03,Lewisham,35,315500
2022-03,Merton,38,212300
2022-03,Newham,36,364900
2022-03,Redbridge,56,317000
2022-03,Richmond upon Thames,57,201000
2022-03,Southwark,29,320800
2022-03,Sutton,44,209800
2022-03,Tower Hamlets,20,330100
2022-03,Waltham Forest,39,283100
2022-03,Wandsworth,34,319900
2022-03,Westminster,21,232300
2023-03,Barking and Dagenham,36,225600
2023-03,Barnet,87,403700
2023-03,Bexley,61,256900
2023-03,Brent,43,325900
2023-03,Bromley,150,339800
2023-03,Camden,22,266100
2023-03,Croydon,86,397100
2023-03,Ealing,56,346200
2023-03,Enfield,81,346300
2023-03,Greenwich,47,300100
2023-03,Hackney,19,297500
2023-03,Hammersmith and Fulham,16,180800
2023-03,Haringey,30,281500
2023-03,Harrow,50,252300
2023-03,Havering,112,268000
2023-03,Hillingdon,116,314700
2023-03,Hounslow,56,277100
2023-03,Islington,15,243800
2023-03,Kensington and Chelsea,12,154100
2023-03,Kingston upon Thames,37,186800
2023-03,Lambeth,27,332000
2023-03,Lewisham,35,316900
2023-03,Merton,38,215000
2023-03,Newham,36,366200
2023-03,Redbridge,56,318100
2023-03,Richmond upon Thames,57,201900
2023-03,Southwark,29,320400
2023-03,Sutton,44,210700
2023-03,Tower Hamlets,20,331000
2023-03,Waltham Forest,39,282400
2023-03,Wandsworth,34,324800
2023-03,Westminster,21,231600
